place,placeName,abstract,country,subject,broaderSubject,placeType,broaderPlaceType,population
http://dbpedia.org/resource/Bellaghy,Bellaghy,"Bellaghy (from Irish Baile Eachaidh, meaning 'Eachaidh's townland') is a village in County Londonderry, Northern Ireland. It lies north west of Lough Neagh and about 5 miles north east of Magherafelt. In the centre of the village (known locally as The Diamond) three main roads lead to Magherafelt, Portglenone and Toome. It had a population of 1,063 people in the 2001 Census and is within Mid-Ulster District.
Bellaghy is home to various historical landmarks, including a well-preserved 17th century fortified house, Bellaghy Bawn, which is now a museum. A Grade B+ thatched cottage is present in the Bellaghy outskirts. The village is also known as the birthplace, childhood home and resting place of poet Seamus Heaney (1939–2013), who won the Nobel Prize for Literature. There is an arts centre in the village dedicated to Heaney.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Londonderry,http://dbpedia.org/resource/Category:Villages_in_Northern_Ireland,,,1063
http://dbpedia.org/resource/Bellaghy,Bellaghy,"Bellaghy (from Irish Baile Eachaidh, meaning 'Eachaidh's townland') is a village in County Londonderry, Northern Ireland. It lies north west of Lough Neagh and about 5 miles north east of Magherafelt. In the centre of the village (known locally as The Diamond) three main roads lead to Magherafelt, Portglenone and Toome. It had a population of 1,063 people in the 2001 Census and is within Mid-Ulster District.
Bellaghy is home to various historical landmarks, including a well-preserved 17th century fortified house, Bellaghy Bawn, which is now a museum. A Grade B+ thatched cottage is present in the Bellaghy outskirts. The village is also known as the birthplace, childhood home and resting place of poet Seamus Heaney (1939–2013), who won the Nobel Prize for Literature. There is an arts centre in the village dedicated to Heaney.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Londonderry,http://dbpedia.org/resource/Category:Geography_of_County_Londonderry,,,1063
http://dbpedia.org/resource/Bellaghy,Bellaghy,"Bellaghy (from Irish Baile Eachaidh, meaning 'Eachaidh's townland') is a village in County Londonderry, Northern Ireland. It lies north west of Lough Neagh and about 5 miles north east of Magherafelt. In the centre of the village (known locally as The Diamond) three main roads lead to Magherafelt, Portglenone and Toome. It had a population of 1,063 people in the 2001 Census and is within Mid-Ulster District.
Bellaghy is home to various historical landmarks, including a well-preserved 17th century fortified house, Bellaghy Bawn, which is now a museum. A Grade B+ thatched cottage is present in the Bellaghy outskirts. The village is also known as the birthplace, childhood home and resting place of poet Seamus Heaney (1939–2013), who won the Nobel Prize for Literature. There is an arts centre in the village dedicated to Heaney.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Londonderry,http://dbpedia.org/resource/Category:Towns_and_villages_in_Northern_Ireland_by_county,,,1063
http://dbpedia.org/resource/Bellaghy,Bellaghy,"Bellaghy (from Irish Baile Eachaidh, meaning 'Eachaidh's townland') is a village in County Londonderry, Northern Ireland. It lies north west of Lough Neagh and about 5 miles north east of Magherafelt. In the centre of the village (known locally as The Diamond) three main roads lead to Magherafelt, Portglenone and Toome. It had a population of 1,063 people in the 2001 Census and is within Mid-Ulster District.
Bellaghy is home to various historical landmarks, including a well-preserved 17th century fortified house, Bellaghy Bawn, which is now a museum. A Grade B+ thatched cottage is present in the Bellaghy outskirts. The village is also known as the birthplace, childhood home and resting place of poet Seamus Heaney (1939–2013), who won the Nobel Prize for Literature. There is an arts centre in the village dedicated to Heaney.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Mid-Ulster_District,"http://dbpedia.org/resource/Category:Districts_of_Northern_Ireland,_2015-present",,,1063
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbeg,http://dbpedia.org/resource/Category:Civil_parishes_of_County_Antrim,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbeg,http://dbpedia.org/resource/Category:Civil_parishes_of_County_Down,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbeg,http://dbpedia.org/resource/Category:Barony_of_Castlereagh_Upper,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbeg,http://dbpedia.org/resource/Category:Barony_of_Belfast_Upper,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Down,http://dbpedia.org/resource/Category:Villages_in_Northern_Ireland,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Down,http://dbpedia.org/resource/Category:Geography_of_County_Down,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Villages_in_County_Down,http://dbpedia.org/resource/Category:Towns_and_villages_in_Northern_Ireland_by_county,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Townlands_of_County_Down,http://dbpedia.org/resource/Category:Townlands_of_Northern_Ireland_by_county,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Townlands_of_County_Down,http://dbpedia.org/resource/Category:Geography_of_County_Down,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbo,http://dbpedia.org/resource/Category:Barony_of_Castlereagh_Upper,,,118
http://dbpedia.org/resource/Hillhall,Hillhall,"Hillhall is a townland and non-nucleated village in County Down, Northern Ireland, near Lisburn. In the 2001 Census it had a population of about one hundred people. It lies in the Lagan Valley Regional Park and the Lisburn City Council area.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Civil_parish_of_Drumbo,http://dbpedia.org/resource/Category:Civil_parishes_of_County_Down,,,118
http://dbpedia.org/resource/Portaferry,Portaferry,"Portaferry (from Irish  Port an Pheire 'landing place of the ferry') is a village in County Down, Northern Ireland, at the southern end of the Ards Peninsula, near the Narrows at the entrance to Strangford Lough. It is home to the Exploris aquarium and is well known for the annual Gala Week Float Parade. It hosts its own small Marina, the Portaferry Marina. The Portaferry–Strangford ferry service operates daily at 30-minute intervals (7.45 am to 10.45 pm) between the villages of Portaferry and Strangford, less than 1500 metres apart, conveying about 500,000 passengers per annum. It had a population of 2,514 people in the 2011 Census. The village is located within the Barony of Ards Upper.
Pot fishing, mainly for prawns and crabs and licensed shellfish farming takes place within Strangford Lough. Queen's University of Belfast have a Marine Research Laboratory on the shorefront. The village is also home to a research centre for Swedish tidal-kite developer Minesto. The lough is one of the world's most important marine sites with over 2,000 marine species.
There are fine Georgian buildings in the village square, including a Market House, now used as a community centre.
Portaferry Lifeboat is an essential lifeline for local fishermen and yachtsmen. The Atlantic 75 is the fastest seagoing lifeboat in the RNLI's fleet and is capable of speeds up to 34 knots.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Ports_and_harbours_of_Northern_Ireland,http://dbpedia.org/resource/Category:Geography_of_Northern_Ireland,,,2514
http://dbpedia.org/resource/Portaferry,Portaferry,"Portaferry (from Irish  Port an Pheire 'landing place of the ferry') is a village in County Down, Northern Ireland, at the southern end of the Ards Peninsula, near the Narrows at the entrance to Strangford Lough. It is home to the Exploris aquarium and is well known for the annual Gala Week Float Parade. It hosts its own small Marina, the Portaferry Marina. The Portaferry–Strangford ferry service operates daily at 30-minute intervals (7.45 am to 10.45 pm) between the villages of Portaferry and Strangford, less than 1500 metres apart, conveying about 500,000 passengers per annum. It had a population of 2,514 people in the 2011 Census. The village is located within the Barony of Ards Upper.
Pot fishing, mainly for prawns and crabs and licensed shellfish farming takes place within Strangford Lough. Queen's University of Belfast have a Marine Research Laboratory on the shorefront. The village is also home to a research centre for Swedish tidal-kite developer Minesto. The lough is one of the world's most important marine sites with over 2,000 marine species.
There are fine Georgian buildings in the village square, including a Market House, now used as a community centre.
Portaferry Lifeboat is an essential lifeline for local fishermen and yachtsmen. The Atlantic 75 is the fastest seagoing lifeboat in the RNLI's fleet and is capable of speeds up to 34 knots.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Ports_and_harbours_of_Northern_Ireland,http://dbpedia.org/resource/Category:Ports_and_harbours_of_the_United_Kingdom,,,2514
http://dbpedia.org/resource/Portaferry,Portaferry,"Portaferry (from Irish  Port an Pheire 'landing place of the ferry') is a village in County Down, Northern Ireland, at the southern end of the Ards Peninsula, near the Narrows at the entrance to Strangford Lough. It is home to the Exploris aquarium and is well known for the annual Gala Week Float Parade. It hosts its own small Marina, the Portaferry Marina. The Portaferry–Strangford ferry service operates daily at 30-minute intervals (7.45 am to 10.45 pm) between the villages of Portaferry and Strangford, less than 1500 metres apart, conveying about 500,000 passengers per annum. It had a population of 2,514 people in the 2011 Census. The village is located within the Barony of Ards Upper.
Pot fishing, mainly for prawns and crabs and licensed shellfish farming takes place within Strangford Lough. Queen's University of Belfast have a Marine Research Laboratory on the shorefront. The village is also home to a research centre for Swedish tidal-kite developer Minesto. The lough is one of the world's most important marine sites with over 2,000 marine species.
There are fine Georgian buildings in the village square, including a Market House, now used as a community centre.
Portaferry Lifeboat is an essential lifeline for local fishermen and yachtsmen. The Atlantic 75 is the fastest seagoing lifeboat in the RNLI's fleet and is capable of speeds up to 34 knots.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Ports_and_harbours_of_Northern_Ireland,http://dbpedia.org/resource/Category:Northern_Ireland_coast,,,2514
http://dbpedia.org/resource/Portaferry,Portaferry,"Portaferry (from Irish  Port an Pheire 'landing place of the ferry') is a village in County Down, Northern Ireland, at the southern end of the Ards Peninsula, near the Narrows at the entrance to Strangford Lough. It is home to the Exploris aquarium and is well known for the annual Gala Week Float Parade. It hosts its own small Marina, the Portaferry Marina. The Portaferry–Strangford ferry service operates daily at 30-minute intervals (7.45 am to 10.45 pm) between the villages of Portaferry and Strangford, less than 1500 metres apart, conveying about 500,000 passengers per annum. It had a population of 2,514 people in the 2011 Census. The village is located within the Barony of Ards Upper.
Pot fishing, mainly for prawns and crabs and licensed shellfish farming takes place within Strangford Lough. Queen's University of Belfast have a Marine Research Laboratory on the shorefront. The village is also home to a research centre for Swedish tidal-kite developer Minesto. The lough is one of the world's most important marine sites with over 2,000 marine species.
There are fine Georgian buildings in the village square, including a Market House, now used as a community centre.
Portaferry Lifeboat is an essential lifeline for local fishermen and yachtsmen. The Atlantic 75 is the fastest seagoing lifeboat in the RNLI's fleet and is capable of speeds up to 34 knots.",http://dbpedia.org/resource/Northern_Ireland,http://dbpedia.org/resource/Category:Ports_and_harbours_of_Northern_Ireland,http://dbpedia.org/resource/Category:Water_transport_in_Northern_Ireland,,,2514
